k,silhouette,calinski_harabasz,bic
2,0.19504255935678905,411.8162785285024,68753.87353298262
3,0.11360888042062128,260.52630061146925,66423.64193301907
4,0.06183884636330699,187.14269695855006,65605.88080816816
5,0.023749737395752916,266.68364514131747,65298.06136213658
6,-0.014190349807742095,151.63619268689183,64408.41101745212
7,0.0013590295706116297,173.81940356117957,63889.89570378952
8,-0.01530612907433881,139.50202541434624,63941.99658825473
